paragraph_id,risk_category,y_true,y_pred,y_score,model,contract_title,paragraph,paragraph_length,risk_categories,cuad_categories,text_preview,error_type
98a5c9c314f8,change_of_control,0,1,0.9134367124588793,tfidf_logistic_regression,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,"provided such assignment or transfer, change in shareholding or control has no material adverse effect on any of the Company's rights and obligations under this Agreement.",26,[],[],"provided such assignment or transfer, change in shareholding or control has no material adverse effect on any of the Company's rights and obligations under this Agreement.",false_positive
9d24b4893772,change_of_control,0,1,0.8989941743173293,tfidf_logistic_regression,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"Exhibit 10.12 EXCLUSIVE DISTRIBUTOR AGREEMENT THIS EXCLUSIVE DISTRIBUTOR AGREEMENT (this ""Agreement"") is made and entered into as of the 12th day of November, 2019 (the ""Effective Date""), by and among WATER NOW, INC., a Texas corporation (""Water Now""), Hydraspin USA, Inc., a Texas corporation and a subsidiary of Water Now (the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"") and BESTEV MANAGEMENT, LLC, a Texas limited liability company (""Distributor""). Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties."" RECITALS: A. Hydraspin holds the exclusive distribution rights in the United States of America for certain commercial oil and gas products,and the associated technology, used to separate and remove Hydrocarbons from natural and injected water involved in the extraction process. B. Hydraspin desires to appoint Distributor, and Distributor desires to be appointed, as the exclusive distributor of products of Hydraspin in the Territory (as defined below), pursuant to the terms and conditions of this Agreement. NOW, THEREFORE, in consideration of the premises and the mutual promises and covenants herein contained, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties hereby agree as follows: ARTICLE I. DEFINITIONS 1.1 For purposes of this Agreement, the following terms, where written with an initial capital letter, shall have the meanings assigned to them in this Article I unless the context otherwise requires: ""Affiliate"" means an individual or legal entity that directly or indirectly, through one or more intermediaries, controls or is controlled by, or is under common control with, another Person. The term ""Control"" as utilized herein means the possession, directly or indirectly, of the power to direct or cause direction of the management and policies of a Person, whether through management, ownership, by contract, or otherwise; provided, however, in no event shall Hydraspin be deemed an Affiliate of the Distributor. ""Change of Control"" means the sale, conveyance or disposition of all or substantially all of the assets of Hydraspin, the effectuation by Hydraspin of a transaction or series of transactions in which more than 50% of the voting power of Hydraspin is disposed of, or any consolidation, merger or other business combination of Hydraspin with or into any other Person or Persons where Hydraspin is not the survivor. ""Customer"" means any Person that is a customer of the Distributor and any Affiliate of Distributor that has an interest in or ultimately utilizes the Product (as defined below).",408,[],[],"Exhibit 10.12 EXCLUSIVE DISTRIBUTOR AGREEMENT THIS EXCLUSIVE DISTRIBUTOR AGREEMENT (this ""Agreement"") is made and entered into as of the 12th day of November, 2019 (the ""Effective Date""), by and among WATER NOW, INC., a Texas corporation (""Water Now""), Hydraspin USA, Inc., a Texas corporation and a subsidiary of Water Now (the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"") and BESTEV MANAGEMENT, LLC, a Texas limited liability company (""Distributor""). Hydraspin and Distributor are so",false_positive
7289ce50c2e3,change_of_control,0,1,0.8723668360321019,tfidf_logistic_regression,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,(a) TouchStar may assign this Agreement and the rights and responsibilities under this Agreement to an Affiliate upon written notice to Reseller.,22,[],[],(a) TouchStar may assign this Agreement and the rights and responsibilities under this Agreement to an Affiliate upon written notice to Reseller.,false_positive
8a3fbdedc349,change_of_control,0,1,0.8503844108626643,tfidf_logistic_regression,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,"solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor. 2.3 Noncircumvention. Hydraspin certifies, stipulates, and agrees that the Hydraspin will deal exclusively with and through the Distributor in relation to the distribution of the Products in the Territory. Hydraspin will not in any way or in any capacity, either directly or indirectly (including without limitation acting by, with or through one or more Persons in which the Hydraspin has an interest and/or with whom Hydraspin has a relationship): except pursuant to an agreement with the Distributor, (a) contact, approach or negotiate with any Customer outside of the Distributor, or (b) contact, approach or negotiate with any Person other than the Distributor and its representatives on any matter with respect to the Products, without the prior written consent of the Distributor. Hydraspin agrees that the Hydraspin will not, in any manner, directly or indirectly, circumvent or attempt to circumvent this Agreement, including, without limitation, forming, joining, or in any way participating in any Person or otherwise act in concert with any Person, for the purpose of taking any actions in circumvention of this Agreement or which are restricted or prohibited under this Agreement. ARTICLE III. GENERAL OBLIGATIONS 3.1 Marketing. Distributor shall use its commercially reasonable efforts to further the advertising, promotion, marketing, distribution and sale of the Products throughout the Territory. 3.2 Support Services. Hydraspin shall install all Products and train Distributor to provide necessary maintenance of the Products. Following installation and necessary training, Distributor shall provide any and all necessary and appropriate Support Services to Customers in the Territory. Hydraspin, if requested and the nature of the request is reasonable, shall assist Distributor in providing Support Services to the Customers in the Territory. 3.3 Licenses. Hydraspin shall obtain such authorizations, licenses, permits, and other governmental or regulatory agency approvals, if any, as are required for the distribution and sale of the Products in the Territory. Distributor will incur no liability arising from Hydraspin's possession, or lack of possession, of such requisite governmental authorizations and approvals. 3.4 Proprietary Right. Distributor will not modify or remove any trademark, copyright and other notices of proprietary rights included by AHT or Hydraspin on the Products.",418,['exclusivity'],['Exclusivity' 'Competitive Restriction Exception'],"solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor. 2.3 Noncircumvention. Hydraspin certifies, stipulates, a",false_positive
b577dc3373a0,change_of_control,0,1,0.8261710605029339,tfidf_logistic_regression,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"14.02 Assignees Bound. Any assignee permitted in Paragraph 14.01 (Assignment) will agree in writing to be bound by all the obligations of the assigning Party under this Agreement, and a copy of such written agreement will be promptly provided to the other Party. Any Party making an assignment of this Agreement as permitted in Paragraph 14.01 (Assignment) will remain bound by the continuing obligations of confidentiality and nonuse applicable to such Party prior to the assignment.",76,[],[],"14.02 Assignees Bound. Any assignee permitted in Paragraph 14.01 (Assignment) will agree in writing to be bound by all the obligations of the assigning Party under this Agreement, and a copy of such written agreement will be promptly provided to the other Party. Any Party making an assignment of this Agreement as permitted in Paragraph 14.01 (Assignment) will remain bound by the continuing obligations of confidentiality and nonuse applicable to such Party prior to the assignment.",false_positive
66eb0b6d068a,change_of_control,0,1,0.8230174395981145,tfidf_logistic_regression,"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT","(c) Subject to the foregoing restrictions on assignment, this Agreement will inure to the benefit of and be binding upon the Parties and their respective successors and permitted assigns.",29,[],[],"(c) Subject to the foregoing restrictions on assignment, this Agreement will inure to the benefit of and be binding upon the Parties and their respective successors and permitted assigns.",false_positive
53e715074850,change_of_control,0,1,0.8195364668096194,tfidf_logistic_regression,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"4.3. Subject to Section 2.6 of this Agreement, not to market, distribute, sell or supply the Products covered by this Agreement to any individual or entity in the Territory directly in response to a request from that person or entity without the prior written consent of Distributor;",47,[],[],"4.3. Subject to Section 2.6 of this Agreement, not to market, distribute, sell or supply the Products covered by this Agreement to any individual or entity in the Territory directly in response to a request from that person or entity without the prior written consent of Distributor;",false_positive
527919ba78e7,change_of_control,0,1,0.8104370846852189,tfidf_logistic_regression,EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT,"5.4 Termination by Distributor. Upon the occurrence of any of the following, Distributor may terminate the Term by giving WGT written notice of such termination;",25,['termination_risk'],['Termination For Convenience'],"5.4 Termination by Distributor. Upon the occurrence of any of the following, Distributor may terminate the Term by giving WGT written notice of such termination;",false_positive
f7ad3277a83c,change_of_control,0,1,0.7968677067376846,tfidf_logistic_regression,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"c) the sale to any Major Competitor of all or substantially all of the business of FCE to which this Agreement relates (whether by merger, consolidation, sale of stock, sale of assets or other similar transaction);",36,[],[],"c) the sale to any Major Competitor of all or substantially all of the business of FCE to which this Agreement relates (whether by merger, consolidation, sale of stock, sale of assets or other similar transaction);",false_positive
907cecbde0c7,change_of_control,0,1,0.795329828055014,tfidf_logistic_regression,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,"reasonable satisfaction within 30 days after written notice from the other party specifying the nature of such breach, then the other party shall have the right to terminate this Agreement upon delivery of written notice to the breaching Party. 6.2.2. Bankruptcy. A party may terminate this Agreement effective upon delivery of written notice to the other party if: (i) any assignment for the benefit of the other party's creditors is made, (ii) the other party voluntarily files a petition in bankruptcy or similar proceeding, (iii) the other party has such a petition in bankruptcy or similar proceeding involuntarily filed against it, (iv) the other party is placed in an insolvency proceeding, (v) if an order is entered appointing a receiver or trustee of the other party, or (vi) a levy or attachment is made against a substantial portion of the other party's assets, and, with respect to any event set forth in clauses (iii) through (vi) above, such position, placement, order, levy or attachment is not dismissed or removed within 30 days from the date of such event. 6.3. Effect of Termination. Upon expiration of the Term (or other termination of this Agreement): 6.3.1. Transition of Activities. Accuray and Distributor agree to negotiate in good faith an orderly transition of Distributor's distribution responsibilities and activities to Accuray or a third party designated by Accuray and Distributor agrees to assist in the transition. 6.3.2. Pending Obligations. Each party must continue to fulfill any obligations, including but not limited to pending Quotes, accrued before the effective date of such termination. 6.3.3. Return of Materials. Distributor shall transfer to Accuray upon Accuray's request: any regulatory clearances, licenses or permits obtained for conduct of the business pursuant to this Agreement; any Confidential Information; and other items as negotiated in good faith between the parties. Furthermore, each of the parties agree to cooperate fully with the other for any reasonable transition assistance required in the case of termination or expiration of this Agreement. 6.4. No Termination Compensation. Distributor waives any rights it may have to receive any compensation or indemnity upon termination or expiration of this Agreement, other than as expressly provided in this Agreement. Distributor acknowledges that it has no expectation and has received no assurances that any investment by Distributor in the promotion of the Products will be recovered or recouped or that Distributor will obtain any anticipated amount of profits by virtue of this Agreement. 6.5. Accruals. No termination or expiration of this Agreement will terminate any obligation of payment which has accrued prior to the effective date of such termination or expiration. 7. DISPUTE RESOLUTION.",434,['termination_risk'],['Post-Termination Services'],"reasonable satisfaction within 30 days after written notice from the other party specifying the nature of such breach, then the other party shall have the right to terminate this Agreement upon delivery of written notice to the breaching Party. 6.2.2. Bankruptcy. A party may terminate this Agreement effective upon delivery of written notice to the other party if: (i) any assignment for the benefit of the other party's creditors is made, (ii) the other party voluntarily files a petition in bankru",false_positive
