paragraph_id,risk_category,y_true,y_pred,y_score,model,contract_title,paragraph,paragraph_length,risk_categories,cuad_categories,text_preview,error_type
47b13595ab31,change_of_control,1,0,0.12554215963342738,tfidf_logistic_regression,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,"(a) At the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or liquidated; (ii) the non-terminating party is dissolved; (iii) the non-terminating party is adjudged a bankrupt or becomes insolvent; (iv) the non-terminating party enters into an assignment or other arrangement for the benefit of its creditors; or (v) the ownership or operations of the non-terminating party have materially changed;",74,['change_of_control'],['Change Of Control'],"(a) At the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or liquidated; (ii) the non-terminating party is dissolved; (iii) the non-terminating party is adjudged a bankrupt or becomes insolvent; (iv) the non-terminating party enters into an assignment or other arrangement for the benefit of its creditors; or (v) the ownership or operations of the non-terminating party have materially changed;",false_negative
f6d60455a423,change_of_control,1,0,0.10132717255823895,tfidf_logistic_regression,"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT","(a) Except as expressly set forth herein, ISO shall not subcontract, assign, license or in any other manner extend or transfer to any third party any right or obligation ISO has with respect to SERVICERS' Program. If ISO desires to use the services of any other independent sales organization/member service provider (""Other MSP""), such Other MSP must be (i) reviewed and approved by SERVICERS, in their sole discretion, (ii) contracted with SERVICERS or Bank upon mutually agreeable terms, and (iii) registered with Visa and MasterCard by Bank in accordance with the Rules. If ISO desires to use the services of an individual independent contractor who represents himself or herself as working for ISO using ISO's legal/business name (""IC""), then ISO shall enter into a written agreement with each such IC that (i) requires the IC to comply with all applicable terms of this Agreement and all applicable Rules, laws and regulations, and (ii) prohibits the making of any representation or creating any liability on behalf of SERVICERS.",167,['change_of_control'],['Anti-Assignment'],"(a) Except as expressly set forth herein, ISO shall not subcontract, assign, license or in any other manner extend or transfer to any third party any right or obligation ISO has with respect to SERVICERS' Program. If ISO desires to use the services of any other independent sales organization/member service provider (""Other MSP""), such Other MSP must be (i) reviewed and approved by SERVICERS, in their sole discretion, (ii) contracted with SERVICERS or Bank upon mutually agreeable terms, and (iii)",false_negative
9ad162df9e04,exclusivity,1,0,0.11578105064886338,tfidf_logistic_regression,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,"eDiets.com will have the opportunity to participate within the following newsletters, the placement, frequency and timing of such participation to be determined by Women.com in its sole discretion provided that Women.com uses its best efforts not to place reference to eDiets on the same page as content which may appear to be contrary to the basic foundation of the eDiets' philosophy. During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date via newsletters, including but not limited to: >> Fashion & Beauty Newsletter: 300,000 subscribers per month >> Food News: 180,000 subscribers per month >> Prevention: 1,600,000 subscribers per month >> Internet Scopes: 2,400,000 subscribers per month >> Sex & Romance: 120,000 subscribers per month >> What's New: 1,100,000 subscribers per month >> Women.com Member Newsletter: 1,700,000 subscribers per month",138,['exclusivity'],['Exclusivity'],"eDiets.com will have the opportunity to participate within the following newsletters, the placement, frequency and timing of such participation to be determined by Women.com in its sole discretion provided that Women.com uses its best efforts not to place reference to eDiets on the same page as content which may appear to be contrary to the basic foundation of the eDiets' philosophy. During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date ",false_negative
c4af77677a96,exclusivity,1,0,0.09572302282675288,tfidf_logistic_regression,"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","(i) Array shall not conduct Clinical Studies for a Product in the Ono Territory with respect to an Indication for which such Product has received Marketing Approval in the Ono Territory if Ono reasonably believes that the conduct of such Clinical Studies is likely to materially adversely affect the commercial value of such Product. In the event of a dispute between the Parties as to whether Ono's belief regarding the harm to its market is reasonable, the Parties shall promptly resolve such matter in accordance with the provisions of Section 17.2 below; provided that Array shall not conduct such Clinical Studies in the Ono Territory unless and until such matter is resolved in favor of such Clinical Studies proceeding.",119,['exclusivity'],['Non-Compete'],"(i) Array shall not conduct Clinical Studies for a Product in the Ono Territory with respect to an Indication for which such Product has received Marketing Approval in the Ono Territory if Ono reasonably believes that the conduct of such Clinical Studies is likely to materially adversely affect the commercial value of such Product. In the event of a dispute between the Parties as to whether Ono's belief regarding the harm to its market is reasonable, the Parties shall promptly resolve such matte",false_negative
37aa83b17d2c,exclusivity,1,0,0.07949728115584064,tfidf_logistic_regression,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,"(i) Each Item listed in Exhibit 3 (""Main Elements covered under this Agreement"") and Exhibit 6 (""LRUs covered by repair and standardexchange Services"") withdrawn from the Stock and used by the Company shall be exclusively repaired by the Repairer.",39,['exclusivity'],['Exclusivity'],"(i) Each Item listed in Exhibit 3 (""Main Elements covered under this Agreement"") and Exhibit 6 (""LRUs covered by repair and standardexchange Services"") withdrawn from the Stock and used by the Company shall be exclusively repaired by the Repairer.",false_negative
9e58d083330c,exclusivity,1,0,0.07381832554230629,tfidf_logistic_regression,"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","(a) Generally. Neither Party shall conduct Clinical Studies in the other Party's Territory without the prior written approval of the other Party, except that Array shall be entitled to conduct Declined Clinical Studies utilizing sites within the Ono Territory without obtaining Ono's consent (but prior notification is required), subject to the following:",52,['exclusivity'],['Non-Compete'],"(a) Generally. Neither Party shall conduct Clinical Studies in the other Party's Territory without the prior written approval of the other Party, except that Array shall be entitled to conduct Declined Clinical Studies utilizing sites within the Ono Territory without obtaining Ono's consent (but prior notification is required), subject to the following:",false_negative
0f2e2b4a6822,exclusivity,1,0,0.05289942963798499,tfidf_logistic_regression,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"in connection with this Agreement whether the information is in oral, visual or written form or is recorded or embodied in any other medium and includes all such information disclosed to, or accessed by, the other party before this Agreement commences; Exclusivity Date means October 1, 2008, the date Intricon makes its first quarterly payment of the Minimum Payment; Identified Party means a party identified in Exhibit C before January 1, 2009 and all other parties are unidentified parties; Improvements mean any modification, improvement, enhancement or development to the Licensed Subject Matter excluding always a development, modification, improvement or enhancement that is patentable in its own right or which is proprietary information of IntriCon. Key Personnel means Elaine Saunders and Anthony Shilton; 5",123,['exclusivity'],['Exclusivity'],"in connection with this Agreement whether the information is in oral, visual or written form or is recorded or embodied in any other medium and includes all such information disclosed to, or accessed by, the other party before this Agreement commences; Exclusivity Date means October 1, 2008, the date Intricon makes its first quarterly payment of the Minimum Payment; Identified Party means a party identified in Exhibit C before January 1, 2009 and all other parties are unidentified parties; Impro",false_negative
ba060ab8861d,exclusivity,1,0,0.0527955898292799,tfidf_logistic_regression,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"4.2 IntriCon will pay to Dynamic Hearing a fixed technology access fee of US$300,000 annually (hereinafter ""Access Fee""), the payment of the technology access fee to be paid on a quarterly basis at the beginning of each calendar quarter. Payment of the technology Access Fee will maintain IntriCon's non-exclusive rights to Dynamic Hearing Technology. 4.3 To maintain exclusive rights to Dynamic Hearing Technology for Hearing Aids IntriCon will make minimum annual payments to Dynamic Hearing as set out in the Minimum Payment Schedule. The Minimum Payment consists of the Access Fee of US$300,000 per annum and the Second Component that increases from year to year. Minimum Payment Schedule (All amounts are in US Dollars):",114,['exclusivity' 'revenue_risk'],['Minimum Commitment' 'Competitive Restriction Exception'],"4.2 IntriCon will pay to Dynamic Hearing a fixed technology access fee of US$300,000 annually (hereinafter ""Access Fee""), the payment of the technology access fee to be paid on a quarterly basis at the beginning of each calendar quarter. Payment of the technology Access Fee will maintain IntriCon's non-exclusive rights to Dynamic Hearing Technology. 4.3 To maintain exclusive rights to Dynamic Hearing Technology for Hearing Aids IntriCon will make minimum annual payments to Dynamic Hearing as set",false_negative
017c2ec29d6e,indemnification,1,0,0.11092903123272393,tfidf_logistic_regression,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,"(f) The Contractor shall take such additional action as is reasonably requested by the Company in order to carry out the purposes of this Agreement. Such reasonable additional action includes, but is not limited to, cooperating with Company in verification of Contractor's compliance, such as by providing copies of certificates of insurance and of other books and records of Contractor, and by permitting inspection of the premises, books and records of Contractor. ARTICLE VI CONDITIONS Section 6.01 Conditions of the Contractor's Obligations. The obligation of the Contractor to administer the Offering on a best efforts basis as provided herein shall be subject to the accuracy of the representations and warranties of the Company, to the performance by the Company of its obligations hereunder, and to the satisfaction of the following additional conditions: (a) The Registration Statement shall be effective, and no stop order suspending the effectiveness thereof shall have been issued and no proceedings for that purpose shall have been initiated or, to the knowledge of the Company, or the Contractor, threatened by the Commission or any state securities commission or similar regulatory body. Any request of the Commission for additional information (to be included in the Registration Statement or the Prospectus or otherwise) shall have been complied with to the reasonable satisfaction of the Contractor and the Contractor's counsel. (b) The Contractor shall not have advised the Company of its reasonable belief that the Registration Statement or Prospectus, or any amendment thereof or supplement thereto, contains any untrue statement of a fact which is material or omits to state a fact which is material and is required to be stated therein or is necessary to make the statements contained therein, in light of the circumstances under which they were made, not misleading, or, if the Contractor has so advised the Company, the Company shall not have taken reasonable action to investigate such belief and, where appropriate, amend the Registration Statement or supplement the Prospectus so as to correct such statement or omission or effect such compliance. (c) The Indenture shall have been duly authorized, executed and delivered by the Company and duly qualified under the Trust Indenture Act. (d) All corporate proceedings and other legal matters in connection with this Agreement, the form of Registration Statement and the Prospectus, and the registration, authorization, issue, sale and delivery of the Notes shall have been reasonably satisfactory to the Contractor's counsel, in all material respects, and the Contractor's counsel shall have been furnished with such papers and information as it may reasonably have requested to enable it to pass upon the matters referred to in this Section. 15",437,['revenue_risk' 'indemnification'],['Insurance' 'Audit Rights'],"(f) The Contractor shall take such additional action as is reasonably requested by the Company in order to carry out the purposes of this Agreement. Such reasonable additional action includes, but is not limited to, cooperating with Company in verification of Contractor's compliance, such as by providing copies of certificates of insurance and of other books and records of Contractor, and by permitting inspection of the premises, books and records of Contractor. ARTICLE VI CONDITIONS Section 6.0",false_negative
20e5fd53dee5,indemnification,1,0,0.08909987175071414,tfidf_logistic_regression,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,"8.1 Without prejudice to any term and condition under this Agreement, the Company shall maintain in force, at all times during the Term and [*****], at its own costs and expenses, with insurers of internationally recognized [*****] Confidential material redacted and filed separately with the Securities and Exchange Commission. AZUL-ATR Global Maintenance Master Agreement DS/CS-3957/14/Issue 7 Page 20/110",58,['indemnification'],['Insurance'],"8.1 Without prejudice to any term and condition under this Agreement, the Company shall maintain in force, at all times during the Term and [*****], at its own costs and expenses, with insurers of internationally recognized [*****] Confidential material redacted and filed separately with the Securities and Exchange Commission. AZUL-ATR Global Maintenance Master Agreement DS/CS-3957/14/Issue 7 Page 20/110",false_negative
